,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
0,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,207841,2020-03-14,01001,24.03.2020 00:00,0,0
1,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,207842,2020-03-19,01001,24.03.2020 00:00,0,0
2,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,207843,2020-03-21,01001,24.03.2020 00:00,0,0
3,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,207844,2020-03-14,01001,24.03.2020 00:00,0,0
4,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,207845,2020-03-18,01001,24.03.2020 00:00,0,0
5,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,207846,2020-03-14,01001,24.03.2020 00:00,0,0
6,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,207847,2020-03-20,01001,24.03.2020 00:00,0,0
7,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,207848,2020-03-14,01001,24.03.2020 00:00,0,0
8,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,207849,2020-03-19,01001,24.03.2020 00:00,0,0
9,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,207850,2020-03-20,01001,24.03.2020 00:00,0,0
10,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207851,2020-03-10,01002,24.03.2020 00:00,0,0
11,1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,207852,2020-03-11,01002,24.03.2020 00:00,0,0
12,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207853,2020-03-13,01002,24.03.2020 00:00,0,0
13,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207854,2020-03-14,01002,24.03.2020 00:00,0,0
14,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207855,2020-03-16,01002,24.03.2020 00:00,0,0
15,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207856,2020-03-18,01002,24.03.2020 00:00,0,0
16,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207857,2020-03-20,01002,24.03.2020 00:00,0,0
17,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,207858,2020-03-21,01002,24.03.2020 00:00,0,0
18,1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,207859,2020-03-23,01002,24.03.2020 00:00,1,0
19,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,207860,2020-03-10,01002,24.03.2020 00:00,0,0
